entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
ABC7 LA,Neutral,-5,15728989,-7439977,328,47954,268430340,268430340,[TikTok](https://www.tiktok.com/@abc7la)
ABC7 Chicago,Neutral,2,15167491,1936482,677,22404,249970420,249970420,[TikTok](https://www.tiktok.com/@abc7chicago)
Team Trump,Right-Leaning,9,12279452,3241727,49,250601,117724728,117724728,[TikTok](https://www.tiktok.com/@teamtrump)
LiveNOW from FOX,Right-Leaning,13,11795742,5429482,204,57822,172630405,172630405,[TikTok](https://tiktok.com/@livenowfox)
The Independent,Neutral,3,10733462,446710,341,31476,200061228,200061228,[TikTok](https://www.tiktok.com/@independent)
Spencer Spencewuah,Left-Leaning,9,10550114,3083805,60,175835,49762923,49762923,[TikTok](https://www.tiktok.com/@spencewuah)
CBS Mornings,Neutral,-5,10339094,-3587434,396,26109,170665773,170665773,[TikTok](https://tiktok.com/@cbsmornings)
Sky News,Neutral,-2,10108995,-2638703,658,15363,230277391,230277391,[TikTok](https://tiktok.com/@skynews)
Univision Noticias,Neutral,2,9444446,142142,216,43724,192419554,192419554,[TikTok](https://www.tiktok.com/@uninoticias)
MS NOW,Left-Leaning,-10,8686878,-6373158,282,30805,125106394,125106394,[TikTok](https://www.tiktok.com/@msnow)
FOX 9 | KMSP Minneapolis,Neutral,46,8479951,6208031,107,79252,141068773,141068773,[TikTok](https://www.tiktok.com/@fox9mn)
ABC World News Tonight,Neutral,-5,7952254,-2473697,151,52664,126342355,126342355,[TikTok](https://www.tiktok.com/@abcworldnews)
Pink News,Left-Leaning,3,7655944,1124932,90,85066,86945529,86945529,[TikTok](https://tiktok.com/@pinknews)
The New York Times,Neutral,6,7378709,1732419,191,38632,80524967,80524967,[TikTok](https://tiktok.com/@nytimes)
The Daily Show,Left-Leaning,-16,6910088,-8873345,96,71980,60615780,60615780,[TikTok](https://tiktok.com/@thedailyshow)
Candace Owens,Right-Leaning,48,6681075,4727094,31,215519,79780878,79780878,[TikTok](https://www.tiktok.com/@candaceoshow)
ABC7NY,Neutral,16,6592571,2779187,295,22348,87710984,87710984,[TikTok](https://www.tiktok.com/@abc7ny)
ABC News Live,Neutral,6,6028212,1046535,348,17322,73561546,73561546,[TikTok](https://tiktok.com/@abcnewslive)
The Late Show with Stephen Colbert,Left-Leaning,2,5822037,543451,87,66920,50626031,50626031,[TikTok](https://www.tiktok.com/@colbertlateshow)
KDFW FOX 4 (Dallas-Fort Worth Fox),Neutral,3,5137833,-40633,33,155692,84355645,84355645,[TikTok](https://www.tiktok.com/@fox4newsdallasfortworth)
Andra Berghoff,Left-Leaning,96,5136431,4464375,33,155649,31864671,31864671,[TikTok](https://tiktok.com/@hopeyoufindyourdad)
The Recount,Left-Leaning,51,4959914,3223984,87,57011,46068560,46068560,[TikTok](https://tiktok.com/@therecount)
CTVNews,Neutral,8,4146049,68435,294,14102,91037122,91037122,[TikTok](https://www.tiktok.com/@ctvnews)
Under the Desk News,Left-Leaning,14,4118706,714448,75,54916,27571488,27571488,[TikTok](https://tiktok.com/@underthedesknews)
NBC New York,Neutral,-12,4087121,-4172627,152,26889,53419103,53419103,[TikTok](https://www.tiktok.com/@nbcnewyork)
Nick Shirley,Right-Leaning,57,4045746,2825710,19,212934,41058647,41058647,[TikTok](https://www.tiktok.com/@nickshirleyy)
Lisandra Vazquez,Left-Leaning,26,3930132,1544795,54,72780,25832158,25832158,[TikTok](https://tiktok.com/@lisandravcomedy)
MeidasTouch,Left-Leaning,-2,3872432,-758069,125,30979,24323764,24323764,[TikTok](https://tiktok.com/@meidastouch)
News Nation,Neutral,10,3696595,307981,286,12925,48502746,48502746,[TikTok](https://www.tiktok.com/@newsnationnow)
The News Movement,Neutral,0,3609320,-506824,140,25781,38130462,38130462,[TikTok](https://www.tiktok.com/@thenewsmovement)
CBS Evening News,Neutral,6,3422546,-16147,162,21127,42970045,42970045,[TikTok](https://tiktok.com/@cbseveningnews)
NBC Washington,Neutral,37,3347514,1475041,197,16992,33802164,33802164,[TikTok](https://www.tiktok.com/@nbcwashington)
60 Minutes,Neutral,-28,3308017,-9896616,145,22814,44620825,44620825,[TikTok](https://tiktok.com/@60minutes)
WFLA News Channel 8,Neutral,,3213939,,5,642788,49157392,49157392,[TikTok](https://www.tiktok.com/@wfla8)
Newsweek,Neutral,-7,3209020,-1130338,273,11755,77813947,77813947,[TikTok](https://tiktok.com/@newsweek)
Harry Sisson,Left-Leaning,7,3173428,-33300,82,38700,23106527,23106527,[TikTok](https://tiktok.com/@harryjsisson)
NBC South Florida,Neutral,-12,3130244,-1832414,122,25658,48946033,48946033,[TikTok](https://www.tiktok.com/@nbcsouthflorida)
The Associated Press (AP),Neutral,-16,3097183,-2137760,269,11514,35141232,35141232,[TikTok](https://tiktok.com/@apnews)
Eumie Michelle,Left-Leaning,244,2894819,2754785,3,964940,14156266,14156266,[TikTok](https://www.tiktok.com/@eumiexx)
Middle East Eye,Neutral,8,2744805,21943,166,16535,23084673,23084673,[TikTok](https://www.tiktok.com/@middleeasteye)
Dean Withers,Left-Leaning,-22,2512182,-3379993,8,314023,16099206,16099206,[TikTok](https://www.tiktok.com/@itsdeaann)
PBS News Hour,Neutral,-1,2457436,-792472,234,10502,36176472,36176472,[TikTok](https://tiktok.com/@pbsnews)
James Talarico,Left-Leaning,94,2420267,1861151,49,49393,13626412,13626412,"[TikTok](https://www.tiktok.com/@jamestalarico), [TikTok](https://www.tiktok.com/@teamtalaricohq)"
Benjamín Zamora,Neutral,-4,2350140,-907358,168,13989,44597826,44597826,[TikTok](https://tiktok.com/@benjaminzamoratv)
CNBC,Neutral,14,2228008,30422,454,4908,66864378,66864378,"[TikTok](https://tiktok.com/@cnbc), [TikTok](https://www.tiktok.com/@cnbc)"
Alicia Luncheon,Left-Leaning,85,2198154,1629382,45,48848,14015549,14015549,[TikTok](https://tiktok.com/@theluncheonlawyer)
CSPAN,Neutral,4,2145108,-371864,99,21668,30599920,30599920,[TikTok](https://tiktok.com/@cspanofficial)
NBC Bay Area,Neutral,6,2116847,-196479,239,8857,33515107,33515107,[TikTok](https://www.tiktok.com/@nbcbayarea)
Atlanta News First,Neutral,757,2089148,2088570,21,99483,14907044,14907044,[TikTok](https://www.tiktok.com/@atlantanewsfirst)
USA Today,Neutral,8,2078319,-165972,224,9278,37076326,37076326,[TikTok](https://www.tiktok.com/@usatoday)
Tell Williams,Left-Leaning,-5,2060108,-761074,51,40394,13081153,13081153,[TikTok](https://www.tiktok.com/@mrwilliamsprek)
Da’Vion Tatum,Left-Leaning,99,2044006,1552415,54,37852,10220776,10220776,[TikTok](https://www.tiktok.com/@iamdaviontatum)
Elijah - elijaaahhhhe,Left-Leaning,-9,2033113,-959007,174,11685,20039400,20039400,[TikTok](https://www.tiktok.com/@elijaaahhhhe)
Gavin Newsom,Left-Leaning,-36,2016930,-4058139,28,72033,11180800,11180800,"[TikTok](https://www.tiktok.com/@cagovernor), [TikTok](https://www.tiktok.com/@gavinnewsom)"
Kai Trump,Right-Leaning,41,1999507,1037010,21,95215,23806343,23806343,[TikTok](https://www.tiktok.com/@thekaitrumpgolfer)
Alexis Rose Hinkley - Traveling Nurse,Left-Leaning,39,1885368,903460,47,40114,16691287,16691287,[TikTok](https://www.tiktok.com/@travelingnurse)
Lisa Remillard,Neutral,3,1848538,-307540,24,77022,18759700,18759700,[TikTok](https://tiktok.com/@lisaremillard)
Zohran Mamdani,Left-Leaning,-44,1826544,-6149223,17,107444,13165970,13165970,[TikTok](https://www.tiktok.com/@zohran_k_mamdani)
Good Trouble - Sam Rosenholtz,Left-Leaning,19,1771957,301394,51,34744,10241065,10241065,[TikTok](https://www.tiktok.com/@goodtrouble_)
Meghan Elinor,Right-Leaning,226,1769800,1635342,71,24927,15148745,15148745,[TikTok](https://www.tiktok.com/@meghanelinor)
David Pakman Show,Left-Leaning,48,1739470,978697,144,12080,16926025,16926025,[TikTok](https://tiktok.com/@davidpakmanshow)
Dannie D,Left-Leaning,10,1738200,-36535,219,7937,12433380,12433380,[TikTok](https://tiktok.com/@dannied01)
Lee Merritt,Left-Leaning,,1711460,,3,570487,6830526,6830526,[TikTok](https://www.tiktok.com/@leemerrittesq)
Gaydar,Left-Leaning,-22,1678098,-1561608,13,129084,7968700,7968700,[TikTok](https://www.tiktok.com/@gaydar.show)
HuffPost,Left-Leaning,-56,1634202,-8573621,26,62854,21380640,21380640,[TikTok](https://www.tiktok.com/@huffpost)
The Older Millennial,Right-Leaning,-5,1564412,-543705,125,12515,10863377,10863377,[TikTok](https://www.tiktok.com/@theoldermillennial)
Cory Booker,Left-Leaning,1,1519456,-367208,107,14201,10978212,10978212,"[TikTok](https://tiktok.com/@corybooker), [TikTok](https://www.tiktok.com/@senbooker)"
Politico Mexico,Neutral,-41,1501384,-2958841,216,6951,26243154,26243154,[TikTok](https://tiktok.com/@politicomx)
TizzyEnt,Left-Leaning,-7,1485374,-563154,54,27507,9705900,9705900,[TikTok](https://tiktok.com/@tizzyent)
Hello America,Right-Leaning,9,1471190,39989,431,3413,9936156,9936156,[TikTok](https://tiktok.com/@helloamericasup)
Hawk Podcast,Left-Leaning,-4,1382462,-506740,210,6583,10809615,10809615,[TikTok](https://tiktok.com/@mdg650hawk7thacct)
Jasmine Crockett,Left-Leaning,123,1372239,1028411,8,171530,4493400,4493400,[TikTok](https://tiktok.com/@jasmineforus)
The Real Cornpop,Left-Leaning,1,1370473,-348094,104,13178,11517285,11517285,[TikTok](https://www.tiktok.com/@therealcornpop)
NPR,Neutral,25,1323904,399273,109,12146,15277582,15277582,[TikTok](https://www.tiktok.com/@npr)
Amanda Tietz,Left-Leaning,28,1312706,426056,31,42345,13215332,13215332,[TikTok](https://www.tiktok.com/@pottymouthpollyanna)
Tucker Carlson,Right-Leaning,4,1300982,-93465,34,38264,13479400,13479400,[TikTok](https://tiktok.com/@tuckercarlson)
Chris Valenti,Left-Leaning,-41,1289027,-2188167,93,13861,7173204,7173204,[TikTok](https://www.tiktok.com/@valentivideos.alt)
AJ+,Left-Leaning,-31,1283569,-1524896,86,14925,12227996,12227996,[TikTok](https://www.tiktok.com/@ajplus)
NYT Opinion,Neutral,-50,1244217,-3006305,20,62211,8059899,8059899,[TikTok](https://www.tiktok.com/@nytopinion)
The Wall Street Journal,Neutral,13,1213886,208139,41,29607,11356094,11356094,[TikTok](https://www.tiktok.com/@wallstreetjournal)
Hal for NY,Left-Leaning,21,1188431,283877,81,14672,14852870,14852870,[TikTok](https://www.tiktok.com/@hal_for_ny__)
