entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Hailtheking1,Right-Leaning,198,50987,41133,4,12747,732738,732738,[TikTok](https://www.tiktok.com/@hailtheking232)
Allie Phillips,Left-Leaning,129,50090,31349,22,2277,208800,208800,[TikTok](https://www.tiktok.com/@.allie.phillips)
AL.com,Neutral,118,49359,28626,2,24680,1346855,1346855,[TikTok](https://www.tiktok.com/@al.comnews)
The Huntsville Times / AL.com,Neutral,118,49359,28626,2,24680,1346855,1346855,[TikTok](https://www.tiktok.com/@al.comnews)
The Atlantic,Neutral,-20,49081,-21453,37,1327,852530,852530,[TikTok](https://www.tiktok.com/@theatlantic)
Brian Entin,Neutral,40,48788,6356,14,3485,965543,965543,[TikTok](https://www.tiktok.com/@brianentin)
Full Send Podcast,Right-Leaning,-86,48274,-64228,25,1931,1178378,1178378,[TikTok](https://www.tiktok.com/@fullsendpodcast)
FOX 7 Austin (KTBC),Neutral,-114,48134,-83927,8,6017,681320,681320,[TikTok](https://www.tiktok.com/@fox7austin)
Kali Fontanilla,Right-Leaning,76,47606,18174,36,1322,382955,382955,[TikTok](https://tiktok.com/@kaliwillnotbecensored)
Cody Dahler,Left-Leaning,79,47500,19029,1,47500,249252,249252,[TikTok](https://www.tiktok.com/@mrcodydahler)
Scroll Dis,Left-Leaning,18,46793,-1723,26,1800,1311416,1311416,[TikTok](https://www.tiktok.com/@scrolldis?lang=en)
Ronan Farrow,Neutral,-113,46699,-81320,2,23350,322719,322719,[TikTok](https://www.tiktok.com/@theronanfarrow)
Adam Schiff,Left-Leaning,-72,46445,-55070,5,9289,362339,362339,"[TikTok](https://www.tiktok.com/@senadamschiff), [TikTok](https://www.tiktok.com/@adamschiff)"
Trevor Noah,Left-Leaning,-77,46010,-57712,4,11503,404300,404300,[TikTok](https://www.tiktok.com/@trevornoah)
PoliticsJOE,Left-Leaning,-151,45932,-114465,33,1392,1093113,1093113,[TikTok](https://tiktok.com/@politicsjoe)
AARP,Left-Leaning,155,44345,31677,9,4927,1348671,1348671,[TikTok](https://tiktok.com/@aarp)
Joe Neguse,Left-Leaning,-85,43959,-64577,7,6280,675982,675982,[TikTok](https://www.tiktok.com/@repjoeneguse)
Duke Alexander Moore,Neutral,,43456,,2,21728,578862,578862,[TikTok](https://tiktok.com/@dukelovestaxes)
Adam Calhoun (ACAL),Right-Leaning,381,42756,42074,4,10689,402361,402361,[TikTok](https://tiktok.com/@adamcalhoun1)
NewsChannel 5 / WTVF (Nashville CBS),Neutral,-81,42619,-59273,8,5327,885637,885637,[TikTok](https://www.tiktok.com/@nc5nashville)
Gretchen Whitmer,Left-Leaning,-45,42012,-36155,7,6002,247196,247196,[TikTok](https://www.tiktok.com/@biggretchwhitmer)
Nakia Deon,Right-Leaning,-173,41926,-150071,53,791,165718,165718,[TikTok](https://www.tiktok.com/@nakia.deon)
Nick Freitas,Right-Leaning,-37,41784,-28634,14,2985,229624,229624,[TikTok](https://www.tiktok.com/@nickjfreitas3.0)
Kamala's Wins,Left-Leaning,398,41643,41250,49,850,823633,823633,[TikTok](https://www.tiktok.com/@kamalaswins)
