entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Brad Polumbo,Right-Leaning,350,39863,38905,6,6644,297357,297357,[TikTok](https://www.tiktok.com/@bradpolumbo0)
Sunrise Movement,Left-Leaning,-19,39504,-10412,25,1580,209921,209921,[TikTok](https://tiktok.com/@sunrisemvmt)
Barrie Rose,Left-Leaning,130,39454,27109,4,9864,331931,331931,[TikTok](https://tiktok.com/@barrierose)
Kahlil Greene,Left-Leaning,-146,39439,-90770,19,2076,242968,242968,[TikTok](https://www.tiktok.com/@kahlilgreene)
D.A.R.Y.L.2.0,Left-Leaning,9,39391,1215,108,365,320757,320757,[TikTok](https://tiktok.com/@d.a.r.y.l.2.0)
Saadia Mirza,Left-Leaning,-152,39158,-93501,17,2303,478996,478996,[TikTok](https://tiktok.com/@saadia___m)
Jobob Taeleifi,Right-Leaning,-108,38599,-60113,97,398,330179,330179,[TikTok](https://tiktok.com/@thejobob)
Monte Mader,Left-Leaning,69,38531,16957,17,2267,156825,156825,[TikTok](https://www.tiktok.com/@montemader)
The Meteor,Left-Leaning,267,37920,35470,1,37920,186800,186800,[TikTok](https://tiktok.com/@wearethemeteor)
Saikat Chakrabarti,Left-Leaning,40,37551,10660,22,1707,248012,248012,[TikTok](https://www.tiktok.com/@saikatforcongress)
Jack Schlossberg,Left-Leaning,-136,37535,-79041,4,9384,555011,555011,[TikTok](https://www.tiktok.com/@jack.schlossberg)
Democracy Now!,Left-Leaning,-353,37108,-868311,48,773,398690,398690,[TikTok](https://www.tiktok.com/@democracynow.org)
Andrxw (andrewtoworld),Left-Leaning,-150,37062,-91542,15,2471,272900,272900,[TikTok](https://www.tiktok.com/@andrewtoworld)
JB Pritzker,Left-Leaning,-280,36943,-371409,19,1944,374020,374020,[TikTok](https://tiktok.com/@teamjb_hq)
