entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Jordan Peterson,Right-Leaning,33,160808,32719,28,5743,1405905,1405905,[TikTok](https://tiktok.com/@dr.jordan.b.peterson)
AARP,Left-Leaning,170,160001,144431,7,22857,2068855,2068855,[TikTok](https://tiktok.com/@aarp)
Bloomberg Business,Neutral,165,159214,141994,4,39804,3582961,3582961,[TikTok](https://www.tiktok.com/@bloombergbusiness)
Stuff Keeps Happening,Left-Leaning,147,151674,131791,18,8426,530531,530531,[TikTok](https://tiktok.com/@endeavorance)
NYT Opinion,Neutral,,144362,,1,144362,1855851,1855851,[TikTok](https://www.tiktok.com/@nytopinion)
Matthew Rein,Left-Leaning,17,143465,-6753,18,7970,772299,772299,[TikTok](https://tiktok.com/@matthew.rein)
The Banned Beard,Right-Leaning,19,139215,-8577,58,2400,784973,784973,[TikTok](https://www.tiktok.com/@thebannedbeard5)
The Trumpest,Right-Leaning,-44,137307,-221915,44,3121,1597183,1597183,[TikTok](https://tiktok.com/@thetrumpest)
Davidson Boswell,Left-Leaning,-13,136708,-91354,42,3255,665949,665949,[TikTok](https://www.tiktok.com/@davidsonboswell)
Matt Walsh,Right-Leaning,43,136664,36777,52,2628,1841156,1841156,[TikTok](https://www.tiktok.com/@mattwalsh_)
Marianne Williamson,Left-Leaning,251,133652,131820,16,8353,1068319,1068319,[TikTok](https://tiktok.com/@marwilliamsonofficial)
Johnny Palmadessa,Left-Leaning,23,131873,5866,19,6941,1379477,1379477,[TikTok](https://tiktok.com/@johnnypalmadessa)
CTVNews,Neutral,-133,131340,-1371275,12,10945,2256529,2256529,[TikTok](https://www.tiktok.com/@ctvnews)
PoliticsJOE,Left-Leaning,0,129303,-41899,23,5622,2150785,2150785,[TikTok](https://tiktok.com/@politicsjoe)
Heidy Torres,Left-Leaning,-13,126983,-88881,48,2645,1449779,1449779,[TikTok](https://tiktok.com/@heidytorr)
Stand Up America,Left-Leaning,127,125201,103293,39,3210,745488,745488,[TikTok](https://tiktok.com/@standup.america)
Saadia Mirza,Left-Leaning,159,122705,107695,35,3506,909994,909994,[TikTok](https://tiktok.com/@saadia___m)
Lisa Remillard,Neutral,,121096,,1,121096,893909,893909,[TikTok](https://tiktok.com/@lisaremillard)
