entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Brandon Tatum,Right-Leaning,124,219875,149631,40,5497,1861828,1861828,[TikTok](https://tiktok.com/@theofficertatum)
Danielle Ann,Left-Leaning,-62,216925,-123560,74,2931,902212,902212,[TikTok](https://tiktok.com/@chasingoz)
Brian Baez,Left-Leaning,18,215368,31556,12,17947,1218090,1218090,[TikTok](https://www.tiktok.com/@mentallydivine)
The Baltimore Sun,Neutral,146,214846,161851,265,811,4301700,4301700,[TikTok](https://www.tiktok.com/@baltimoresun)
Ro Khanna,Left-Leaning,-157,214093,-713452,24,8921,1256089,1256089,"[TikTok](https://tiktok.com/@rokhannausa), [TikTok](https://www.tiktok.com/@reprokhanna)"
Melanie Stansbury,Left-Leaning,-114,211309,-388982,62,3408,1271479,1271479,[TikTok](https://tiktok.com/@repstansbury)
Ilhan Omar,Left-Leaning,49,210499,66310,17,12382,3035822,3035822,"[TikTok](https://tiktok.com/@rep_ilhan), [TikTok](https://www.tiktok.com/@ilhanmn)"
AL.com,Neutral,,209713,,98,2140,3114122,3114122,[TikTok](https://www.tiktok.com/@al.comnews)
Dan Bongino,Right-Leaning,-43,209602,-78479,47,4460,1862312,1862312,[TikTok](https://www.tiktok.com/@danbonginox)
Suzanne Lambert,Left-Leaning,-16,206596,-7422,41,5039,1492057,1492057,[TikTok](https://www.tiktok.com/@itssuzannelambert)
Brooker Tee Jones,Right-Leaning,136,197696,142986,34,5815,1568778,1568778,[TikTok](https://www.tiktok.com/@brookerteejones)
Jake Tapper,Neutral,183,197279,156932,45,4384,4421508,4421508,[TikTok](https://www.tiktok.com/@jaketapper)
Naima (hair.soup),Left-Leaning,,195164,,5,39033,955954,955954,[TikTok](https://www.tiktok.com/@hair.soup)
The Sacramento Bee,Neutral,55,194972,65860,23,8477,1832627,1832627,[TikTok](https://www.tiktok.com/@sacramentobee)
The Haunted Side,Right-Leaning,-139,194330,-501504,126,1542,5945410,5945410,[TikTok](https://www.tiktok.com/@thehauntedside)
Anna Connelly,Left-Leaning,71,190259,76189,20,9513,918936,918936,[TikTok](https://www.tiktok.com/@annaconnellyiscool)
Nick Muller,Left-Leaning,-48,188742,-88915,29,6508,860712,860712,[TikTok](https://www.tiktok.com/@nickmuller703)
Realafshow,Right-Leaning,74,188510,79933,62,3040,1766392,1766392,[TikTok](https://www.tiktok.com/@realafshow)
SimpleBlackTheory,Left-Leaning,-155,187488,-566770,20,9374,1783620,1783620,[TikTok](https://www.tiktok.com/@simpleblacktheory)
"Joe ""Pags"" Pagliarulo",Right-Leaning,-24,186092,-24168,25,7444,2079535,2079535,[TikTok](https://www.tiktok.com/@joepags)
The Aravosis Report,Left-Leaning,-40,185400,-68136,35,5297,2066211,2066211,[TikTok](https://tiktok.com/@aravosis)
The Lincoln Project,Left-Leaning,186,185144,150052,14,13225,984214,984214,[TikTok](https://www.tiktok.com/@thelincolnproject)
The Young Turks,Left-Leaning,73,184507,80621,12,15376,2793119,2793119,[TikTok](https://www.tiktok.com/@theyoungturks)
Somaya (arguablysomaya),Left-Leaning,5,183542,14366,25,7342,871296,871296,[TikTok](https://www.tiktok.com/@arguablysomaya)
Brian Entin,Neutral,-2,183053,756,32,5720,2650983,2650983,[TikTok](https://www.tiktok.com/@brianentin)
Kenny Walden - 2rawtooreal,Left-Leaning,83,181219,98610,27,6712,540711,540711,[TikTok](https://www.tiktok.com/@2rawtooreal2)
Chad Prather,Right-Leaning,307,181076,167840,21,8623,1022516,1022516,[TikTok](https://www.tiktok.com/@chadprather)
Grand Ole Evan,Right-Leaning,-18,181021,-14119,27,6704,1388536,1388536,[TikTok](https://www.tiktok.com/@grand_ole_evan)
Vicki Chan MD,Left-Leaning,-3,180290,557,77,2341,2074694,2074694,[TikTok](https://www.tiktok.com/@vickichanmd)
Just Wayne,Left-Leaning,5,177194,16730,64,2769,1075140,1075140,[TikTok](https://www.tiktok.com/@justwaynecreative)
Lost In The Mix,Left-Leaning,-147,172405,-478607,47,3668,859800,859800,[TikTok](https://www.tiktok.com/@lostinthemixxx)
Full Send Podcast,Right-Leaning,147,170982,126024,10,17098,2420336,2420336,[TikTok](https://www.tiktok.com/@fullsendpodcast)
Democratic Governors Association (DGA),Left-Leaning,-155,169861,-509930,40,4247,1377141,1377141,[TikTok](https://tiktok.com/@demgovs)
Leaders Of USA Hub,Left-Leaning,222,169466,144485,26,6518,1234255,1234255,[TikTok](https://www.tiktok.com/@leadersofusahub)
Robert Reich,Left-Leaning,-109,169174,-251981,34,4976,992122,992122,[TikTok](https://tiktok.com/@rbreich)
TRT World,Neutral,-118,169143,-266411,103,1642,1939648,1939648,[TikTok](https://www.tiktok.com/@trtworld)
Sunrise Movement,Left-Leaning,4,164344,7823,46,3573,1369316,1369316,[TikTok](https://tiktok.com/@sunrisemvmt)
Gina Hinojosa,Left-Leaning,-123,163600,-282343,17,9624,934056,934056,[TikTok](https://www.tiktok.com/@ginafortexas)
Kiki Rae Real,Left-Leaning,18,162966,20083,50,3259,806300,806300,[TikTok](https://www.tiktok.com/@kikiraereal)
Eric Burnett,Left-Leaning,-54,162151,-76594,27,6006,1278640,1278640,[TikTok](https://www.tiktok.com/@dr.eric.b)
Morgan,Left-Leaning,-140,158648,-367009,37,4288,912536,912536,[TikTok](https://www.tiktok.com/@morga_tt)
Rob Smith,Right-Leaning,6,156634,4683,73,2146,1278350,1278350,[TikTok](https://www.tiktok.com/@cantcancelrobsmith)
Black Love In Media,Left-Leaning,-54,150560,-81087,42,3585,661745,661745,[TikTok](https://www.tiktok.com/@blackloveinmedia)
Josh Helfgott,Left-Leaning,-1,148557,-4945,7,21222,1230303,1230303,[TikTok](https://tiktok.com/@joshhelfgott)
Epistemic,Left-Leaning,,148069,,9,16452,863614,863614,[TikTok](https://www.tiktok.com/@epistemiccrisis)
ACLU,Left-Leaning,-83,147470,-149010,55,2681,897165,897165,[TikTok](https://www.tiktok.com/@aclu)
Jeffery Mead,Right-Leaning,25,145177,17107,19,7641,956055,956055,[TikTok](https://tiktok.com/@the_jefferymead)
Meme Market,Left-Leaning,-272,144418,-2808406,44,3282,634075,634075,[TikTok](https://www.tiktok.com/@meme.market67)
Sanders Jennings,Left-Leaning,340,143310,135128,18,7962,2633173,2633173,[TikTok](https://www.tiktok.com/@sander_jennings)
Climate Defiance,Left-Leaning,-65,143200,-96535,28,5114,806926,806926,[TikTok](https://www.tiktok.com/@climatedefiance)
Raybay,Left-Leaning,-33,142297,-43977,18,7905,649486,649486,[TikTok](https://www.tiktok.com/@ray_bay_bay)
Dellara,Left-Leaning,296,141762,129835,10,14176,605810,605810,[TikTok](https://tiktok.com/@dellara)
Link Lauren,Right-Leaning,-23,141671,-26113,16,8854,735886,735886,[TikTok](https://tiktok.com/@itslinklauren)
Brett Cooper,Right-Leaning,-74,140442,-116396,21,6688,1296313,1296313,[TikTok](https://tiktok.com/@brettcooper_)
Will Cain,Right-Leaning,-174,139782,-529580,531,263,2385570,2385570,[TikTok](https://www.tiktok.com/@willcainshow)
Nathan Jun,Left-Leaning,-63,139186,-76270,29,4800,752194,752194,[TikTok](https://www.tiktok.com/@nathancjun)
Heidy Torres,Left-Leaning,-122,138382,-218443,159,870,2050624,2050624,[TikTok](https://tiktok.com/@heidytorr)
Joe Hubbard,Left-Leaning,-114,136955,-201057,25,5478,860828,860828,[TikTok](https://www.tiktok.com/@joe_hubbard)
Everyone Hates Elon,Left-Leaning,404,135399,131706,5,27080,933611,933611,[TikTok](https://www.tiktok.com/@peoplevselon)
FOX 9 | KMSP Minneapolis,Neutral,-251,135379,-1338282,63,2149,2210412,2210412,[TikTok](https://www.tiktok.com/@fox9mn)
David Boomer,Left-Leaning,-1,134034,-2644,40,3351,504618,504618,[TikTok](https://tiktok.com/@empathytour)
Grace Unfiltered,Right-Leaning,-191,133906,-597349,29,4617,878018,878018,[TikTok](https://www.tiktok.com/@_thatonefitguy92)
Clarkson Lawson,Right-Leaning,-116,133328,-197587,9,14814,1092475,1092475,[TikTok](https://tiktok.com/@clarksonlawson)
Jeff Jackson,Left-Leaning,22,132509,17573,3,44170,1065267,1065267,[TikTok](https://tiktok.com/@jeffjacksonnc)
Los Angeles Times,Neutral,-87,129394,-130812,68,1903,2686381,2686381,[TikTok](https://www.tiktok.com/@latimes)
The Five,Right-Leaning,-121,127485,-206879,60,2125,1585326,1585326,[TikTok](https://www.tiktok.com/@thefive)
Alexis and Dean,Neutral,-115,126755,-190343,19,6671,2955090,2955090,[TikTok](https://www.tiktok.com/@alexisanddean)
Amanda Litman,Left-Leaning,426,125666,122972,32,3927,708134,708134,[TikTok](https://www.tiktok.com/@amandalitman)
Robert Arnold,Left-Leaning,-50,124452,-60667,11,11314,490866,490866,[TikTok](https://www.tiktok.com/@defiance13)
Kathryn Anne Edwards,Left-Leaning,352,124031,118629,12,10336,626271,626271,[TikTok](https://www.tiktok.com/@keds_economist)
