entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Joy-Ann Reid,Left-Leaning,12,696291,-278613,62,11231,4244199,4244199,[TikTok](https://www.tiktok.com/@joyreidofficial)
Yeganeh Mafaher,Left-Leaning,94,682763,478862,40,17069,4797911,4797911,[TikTok](https://www.tiktok.com/@littleyeg)
Tiffany Cianci,Neutral,294,659522,656387,6,109920,5523236,5523236,[TikTok](https://tiktok.com/@tiffanycianci)
Dave Jorgenson,Neutral,-10,608756,-763164,16,38047,6256568,6256568,[TikTok](https://www.tiktok.com/@davejorgenson)
Danielle Ann,Left-Leaning,15,589020,-211389,104,5664,2881975,2881975,[TikTok](https://tiktok.com/@chasingoz)
Genz Perspective Pod,Left-Leaning,20,567210,-100439,37,15330,4317161,4317161,[TikTok](https://www.tiktok.com/@genzperspectivepod)
More Perfect Union,Left-Leaning,56,557066,221642,55,10128,5927034,5927034,[TikTok](https://tiktok.com/@moreperfectunion)
Allie O’Brien,Left-Leaning,-5,536640,-566097,15,35776,2902884,2902884,[TikTok](https://tiktok.com/@allie_202_)
Jack Schlossberg,Left-Leaning,-7,528296,-587648,19,27805,3480266,3480266,[TikTok](https://www.tiktok.com/@jack.schlossberg)
Reuters,Neutral,5,525647,-355714,61,8617,15794116,15794116,[TikTok](https://www.tiktok.com/@reuters)
Democratic Governors Association (DGA),Left-Leaning,37,511965,70652,17,30116,2924860,2924860,[TikTok](https://tiktok.com/@demgovs)
Johnny Harris,Left-Leaning,87,504877,310395,4,126219,5335808,5335808,[TikTok](https://www.tiktok.com/@johnny.harris)
Russell Brand,Right-Leaning,90,495157,315482,17,29127,6393335,6393335,[TikTok](https://www.tiktok.com/@russellbrand)
Marcus DiPaola,Neutral,18,487666,-127602,38,12833,4824419,4824419,[TikTok](https://tiktok.com/@marcus.dipaola)
Stuff Keeps Happening,Left-Leaning,99,486392,334718,28,17371,2184692,2184692,[TikTok](https://tiktok.com/@endeavorance)
Whitney Roberts,Left-Leaning,26,484536,-3336,42,11537,2388414,2388414,[TikTok](https://www.tiktok.com/@thewokemama)
Maggie Reed,Left-Leaning,-11,477667,-545515,54,8846,2051066,2051066,[TikTok](https://tiktok.com/@mermaidmamamaggie)
Andre White,Left-Leaning,17,466269,-102318,14,33305,3328465,3328465,[TikTok](https://tiktok.com/@blackkout___)
The Independent,Neutral,2,458298,-323398,102,4493,19289316,19289316,[TikTok](https://www.tiktok.com/@independent)
Olivia Julianna,Left-Leaning,-59,451904,-3033155,54,8369,3114047,3114047,[TikTok](https://tiktok.com/@0liviaJulianna)
Victoria Hammett,Left-Leaning,131,434813,362878,20,21741,3181975,3181975,[TikTok](https://tiktok.com/@victoriahammett)
Lisandra Vazquez,Left-Leaning,84,415556,252080,11,37778,3108475,3108475,[TikTok](https://tiktok.com/@lisandravcomedy)
Davidson Boswell,Left-Leaning,96,414076,277368,46,9002,1994721,1994721,[TikTok](https://www.tiktok.com/@davidsonboswell)
Free State of Florida,Right-Leaning,114,409482,316749,40,10237,3562216,3562216,[TikTok](https://tiktok.com/@freestateofflorida)
News Doode,Left-Leaning,0,400065,-268135,35,11430,3129265,3129265,[TikTok](https://www.tiktok.com/@my_doode)
Eric Burnett,Left-Leaning,-17,397947,-599981,26,15306,2531837,2531837,[TikTok](https://www.tiktok.com/@dr.eric.b)
The Associated Press (AP),Neutral,-56,391886,-2103092,89,4403,5789563,5789563,[TikTok](https://tiktok.com/@apnews)
BloxCast,Neutral,12,377875,-143544,64,5904,2906495,2906495,[TikTok](https://www.tiktok.com/@bloxcast_)
Gavin Newsom,Left-Leaning,28,364049,10956,21,17336,3135445,3135445,"[TikTok](https://www.tiktok.com/@cagovernor), [TikTok](https://www.tiktok.com/@gavinnewsom)"
Newsweek,Neutral,-57,334562,-2023074,129,2594,11420406,11420406,[TikTok](https://tiktok.com/@newsweek)
Date Right Stuff,Right-Leaning,-48,333041,-1345521,1,333041,4025548,4025548,[TikTok](https://tiktok.com/@daterightstuff)
Michael Solakiewicz,Right-Leaning,-33,329899,-902285,47,7019,8399908,8399908,[TikTok](https://www.tiktok.com/@michaelsolakiewicz)
Hail the King,Right-Leaning,-16,329388,-517695,58,5679,2165788,2165788,[TikTok](https://www.tiktok.com/@hailtheking23)
ACLU,Left-Leaning,55,327026,100023,24,13626,2005472,2005472,[TikTok](https://www.tiktok.com/@aclu)
Crooked Media,Left-Leaning,6,321655,-166835,87,3697,3705176,3705176,[TikTok](https://tiktok.com/@crookedmedia)
The Comments Section,Right-Leaning,-13,307726,-439653,9,34192,2243671,2243671,[TikTok](https://www.tiktok.com/@thecommentssection)
Jamelle Bouie,Left-Leaning,-13,303077,-397090,40,7577,2323162,2323162,[TikTok](https://tiktok.com/@jamellebouie)
Adam Mockler,Left-Leaning,94,297853,184106,3,99284,2634952,2634952,[TikTok](https://tiktok.com/@adammockler)
Elizabeth Booker Houston - Bookers Squared,Left-Leaning,-23,292842,-570188,30,9761,1056916,1056916,[TikTok](https://www.tiktok.com/@bookersquared)
Metro,Neutral,-42,281682,-965087,6,46947,5146197,5146197,[TikTok](https://tiktok.com/@metrouk)
DailyDose Of Masculinity,Right-Leaning,121,281544,223477,13,21657,4652770,4652770,[TikTok](https://www.tiktok.com/@men_world_)
Blake Neff,Right-Leaning,112,281417,211153,14,20101,3944503,3944503,[TikTok](https://www.tiktok.com/@therealblakeneff)
Clips of Kamala,Left-Leaning,-71,260880,-2104238,7,37269,1088125,1088125,[TikTok](https://www.tiktok.com/@clipsofkamala)
David Boomer,Left-Leaning,6,253156,-151271,94,2693,988237,988237,[TikTok](https://tiktok.com/@empathytour)
PoliticsJOE,Left-Leaning,79,247174,117871,36,6866,3326518,3326518,[TikTok](https://tiktok.com/@politicsjoe)
