entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Alan Vargas,Left-Leaning,-5,33095,-5734,31,1068,157792,157792,[TikTok](https://www.tiktok.com/@thealanvargas)
PoliticsJOE,Left-Leaning,65,32890,13172,15,2193,693506,693506,[TikTok](https://tiktok.com/@politicsjoe)
Deja Foxx,Left-Leaning,-370,31953,-1188570,1,31953,237200,237200,[TikTok](https://www.tiktok.com/@deja_foxx)
The Sacramento Bee,Neutral,-37,31523,-19903,15,2102,841620,841620,[TikTok](https://www.tiktok.com/@sacramentobee)
Xavier Becerra,Left-Leaning,,30841,,1,30841,141135,141135,[TikTok](https://www.tiktok.com/@becerraforgovernor)
Quentin R. Jiles,Left-Leaning,45,30834,7376,6,5139,148829,148829,[TikTok](https://www.tiktok.com/@quentinjiles)
The Knower Of Ball,Left-Leaning,,30475,,20,1524,220496,220496,[TikTok](https://www.tiktok.com/@theknowerofball)
Taylor Lorenz,Left-Leaning,125,30190,20151,1,30190,174611,174611,[TikTok](https://www.tiktok.com/@taylorlorenz)
Myranda Kazos Sievers,Left-Leaning,178,30058,24854,35,859,210301,210301,[TikTok](https://www.tiktok.com/@myrandapolisci)
Chris Murphy,Left-Leaning,-259,30007,-299276,3,10002,174234,174234,[TikTok](https://www.tiktok.com/@chrismurphyct)
Mike Levin,Left-Leaning,-46,29699,-21881,26,1142,229280,229280,"[TikTok](https://www.tiktok.com/@repmikelevin), [TikTok](https://www.tiktok.com/@mikelevinca)"
Protect Our Care,Left-Leaning,28,29594,3551,25,1184,234684,234684,[TikTok](https://tiktok.com/@protectourcare)
Teacher Pay with Kristen,Left-Leaning,6,29267,-712,31,944,305252,305252,[TikTok](https://www.tiktok.com/@teacherpaywithk)
Yard Culture LA,Left-Leaning,92,28896,15430,47,615,210028,210028,[TikTok](https://www.tiktok.com/@yardculturela)
Bo Loudon,Right-Leaning,-211,28429,-175174,16,1777,428922,428922,[TikTok](https://www.tiktok.com/@boloudon)
Hakeem Jeffries,Left-Leaning,-111,27333,-58143,15,1822,352919,352919,[TikTok](https://www.tiktok.com/@leaderjeffries)
The 'Gander,Left-Leaning,-6,27269,-5930,38,718,181475,181475,[TikTok](https://www.tiktok.com/@gandernewsroom)
Chrissy Clark,Right-Leaning,320,26971,26389,13,2075,147176,147176,"[TikTok](https://www.tiktok.com/@chrissyclark_), [TikTok](https://www.tiktok.com/@thechrissyclark_)"
