entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Saadia Mirza,Left-Leaning,272,364516,325358,20,18226,2619150,2619150,[TikTok](https://tiktok.com/@saadia___m)
Claudio Vallejo,Left-Leaning,74,360506,183764,38,9487,2558772,2558772,[TikTok](https://tiktok.com/@whatsupcv)
Heidy Torres,Left-Leaning,-33,356825,-95928,106,3366,5243252,5243252,[TikTok](https://tiktok.com/@heidytorr)
Live Action,Right-Leaning,-20,355161,-30440,69,5147,3606754,3606754,[TikTok](https://www.tiktok.com/@liveactionorg)
Piers Morgan Uncensored,Right-Leaning,-59,352424,-211066,34,10365,8714181,8714181,[TikTok](https://www.tiktok.com/@piersmorganuncensored)
Kate Glavan,Left-Leaning,246,341472,293954,85,4017,2579747,2579747,[TikTok](https://www.tiktok.com/@kateglavan)
Danielle Ann,Left-Leaning,-5,340485,7717,88,3869,1392329,1392329,[TikTok](https://tiktok.com/@chasingoz)
Alyssa Barber,Left-Leaning,1,340046,23153,12,28337,1124475,1124475,[TikTok](https://tiktok.com/@newlifestyleabb)
Commonsense Revolution,Left-Leaning,87,339788,181522,16,21237,1587573,1587573,[TikTok](https://www.tiktok.com/@commonsenserevolution)
Barrie Rose,Left-Leaning,260,338032,298578,7,48290,3360861,3360861,[TikTok](https://tiktok.com/@barrierose)
Joe Hubbard,Left-Leaning,0,338016,24270,25,13521,2002506,2002506,[TikTok](https://www.tiktok.com/@joe_hubbard)
The Five,Right-Leaning,278,334364,300825,64,5224,4384831,4384831,[TikTok](https://www.tiktok.com/@thefive)
Chris Mowrey,Left-Leaning,42,331004,112152,12,27584,1409835,1409835,[TikTok](https://www.tiktok.com/@chrisdmowrey)
Clarkson Lawson,Right-Leaning,-35,330915,-81261,9,36768,2036563,2036563,[TikTok](https://tiktok.com/@clarksonlawson)
The Moderate Case,Right-Leaning,-56,329672,-160989,64,5151,3467425,3467425,[TikTok](https://www.tiktok.com/@themoderatecase)
Human Rights Campaign,Left-Leaning,154,326985,239968,38,8605,2316357,2316357,[TikTok](https://tiktok.com/@humanrightscampaign)
Liz Oyer,Left-Leaning,8,323162,51433,15,21544,1500747,1500747,[TikTok](https://www.tiktok.com/@lawyer.oyer)
