entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
The Daily Show,Left-Leaning,-12,4487970,-5157580,69,65043,35321219,35321219,[TikTok](https://tiktok.com/@thedailyshow)
AJ+,Left-Leaning,-3,4418125,-881580,85,51978,39434009,39434009,[TikTok](https://www.tiktok.com/@ajplus)
Alex Pearlman,Left-Leaning,-11,4405757,-2749570,24,183573,22524495,22524495,[TikTok](https://tiktok.com/@pearlmania500)
The News Movement,Neutral,18,4195638,1556084,191,21967,44757978,44757978,[TikTok](https://www.tiktok.com/@thenewsmovement)
The New York Times,Neutral,13,4154264,1340121,150,27695,46776400,46776400,[TikTok](https://tiktok.com/@nytimes)
Tell Williams,Left-Leaning,48,3889767,2518666,52,74803,29458700,29458700,[TikTok](https://www.tiktok.com/@mrwilliamsprek)
LiveNOW from FOX,Right-Leaning,7,3752809,649544,151,24853,70451097,70451097,[TikTok](https://tiktok.com/@livenowfox)
CTVNews,Neutral,-11,3736653,-2337651,404,9249,85304559,85304559,[TikTok](https://www.tiktok.com/@ctvnews)
CSPAN,Neutral,73,3720681,2837664,81,45934,68097828,68097828,[TikTok](https://tiktok.com/@cspanofficial)
Under the Desk News,Left-Leaning,5,3684269,587343,54,68227,17013786,17013786,[TikTok](https://tiktok.com/@underthedesknews)
Dannie D,Left-Leaning,28,3378107,1484246,243,13902,18804588,18804588,[TikTok](https://tiktok.com/@dannied01)
Harry Sisson,Left-Leaning,1,2984831,-287194,87,34308,19905560,19905560,[TikTok](https://tiktok.com/@harryjsisson)
TRT World,Neutral,-1,2895985,-398393,311,9312,35571377,35571377,[TikTok](https://www.tiktok.com/@trtworld)
Politico Mexico,Neutral,16,2840706,537098,480,5918,56597356,56597356,[TikTok](https://tiktok.com/@politicomx)
The White House,Right-Leaning,,2802351,,48,58382,38442040,38442040,[TikTok](https://www.tiktok.com/@whitehouse)
The Independent,Neutral,1,2721409,-123028,263,10348,56829783,56829783,[TikTok](https://www.tiktok.com/@independent)
Marcus DiPaola,Neutral,30,2543521,1009294,44,57807,19037100,19037100,[TikTok](https://tiktok.com/@marcus.dipaola)
News Nation,Neutral,8,2519485,100699,314,8024,48056134,48056134,[TikTok](https://www.tiktok.com/@newsnationnow)
Middle East Eye,Neutral,-8,2516882,-912873,140,17978,20428000,20428000,[TikTok](https://www.tiktok.com/@middleeasteye)
Philip DeFranco,Left-Leaning,-24,2509754,-3876837,43,58366,15440400,15440400,"[TikTok](https://www.tiktok.com/@philipdefranco), [TikTok](https://www.tiktok.com/@pdspolitics)"
The Associated Press (AP),Neutral,46,2509142,1395950,225,11152,26494875,26494875,[TikTok](https://tiktok.com/@apnews)
Benjamín Zamora,Neutral,9,2485558,317825,124,20045,44978160,44978160,[TikTok](https://tiktok.com/@benjaminzamoratv)
Elijah - elijaaahhhhe,Left-Leaning,14,2445120,487618,146,16747,13667960,13667960,[TikTok](https://www.tiktok.com/@elijaaahhhhe)
TizzyEnt,Left-Leaning,-21,2397056,-2129172,41,58465,14925400,14925400,[TikTok](https://tiktok.com/@tizzyent)
KDFW FOX 4 (Dallas-Fort Worth Fox),Neutral,106,2378519,1886178,24,99105,24657046,24657046,[TikTok](https://www.tiktok.com/@fox4newsdallasfortworth)
Newsweek,Neutral,-28,2325386,-3045060,232,10023,31311728,31311728,[TikTok](https://tiktok.com/@newsweek)
PBS News Hour,Neutral,18,2257190,656320,355,6358,20844699,20844699,[TikTok](https://tiktok.com/@pbsnews)
Ian Lightfoot,Left-Leaning,-21,2189767,-1889280,27,81102,7834008,7834008,[TikTok](https://www.tiktok.com/@ianllightfoot)
