entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Casey Mama Sissie,Left-Leaning,131,182735,131780,56,3263,1366105,1366105,[TikTok](https://tiktok.com/@mamasissiesays)
Informed It Girls,Left-Leaning,271,180127,170166,2,90064,2489785,2489785,[TikTok](https://www.tiktok.com/@informed.it.girls)
Attorney Ryan,Left-Leaning,28,179478,25811,34,5279,1385523,1385523,[TikTok](https://tiktok.com/@attorneyryan)
Ian Lightfoot,Left-Leaning,379,178747,176755,4,44687,749909,749909,[TikTok](https://www.tiktok.com/@ianllightfoot)
The Free Press,Right-Leaning,,175397,,4,43849,1999569,1999569,[TikTok](https://www.tiktok.com/@the.free.press)
Trae Crowder,Left-Leaning,6,173012,-12879,9,19224,869371,869371,[TikTok](https://tiktok.com/@traecrowder)
Hasan Piker,Left-Leaning,-215,171706,-2366489,3,57235,1115500,1115500,[TikTok](https://www.tiktok.com/@hasandpiker)
Tawni (vintagetawni1),Left-Leaning,-149,170524,-781640,2,85262,972430,972430,[TikTok](https://www.tiktok.com/@vintagetawni1)
Just Wayne,Left-Leaning,-70,170244,-210772,49,3474,1136753,1136753,[TikTok](https://www.tiktok.com/@justwaynecreative)
Kenny Walden - 2rawtooreal,Left-Leaning,33,169127,29435,41,4125,685936,685936,[TikTok](https://www.tiktok.com/@2rawtooreal2)
Jeffery Mead,Right-Leaning,-55,166988,-150774,10,16699,1010900,1010900,[TikTok](https://tiktok.com/@the_jefferymead)
HYGO News,Right-Leaning,-50,165908,-140681,459,361,9135464,9135464,[TikTok](https://www.tiktok.com/@hygonews)
ProPublica,Neutral,267,165839,156956,2,82920,624244,624244,[TikTok](https://www.tiktok.com/@ProPublica)
Naima (hair.soup),Left-Leaning,227,165033,151030,9,18337,1658108,1658108,[TikTok](https://www.tiktok.com/@hair.soup)
Braedon Sorbo,Right-Leaning,31,161917,25928,30,5397,1966748,1966748,[TikTok](https://www.tiktok.com/@braedensorbo)
D.A.R.Y.L.2.0,Left-Leaning,-39,158150,-110880,88,1797,1172511,1172511,[TikTok](https://tiktok.com/@d.a.r.y.l.2.0)
No Nonsense Spirituality,Left-Leaning,286,155283,148864,2,77642,1210859,1210859,[TikTok](https://www.tiktok.com/@nononsensespirituality)
Andre White,Left-Leaning,-14,154035,-56205,17,9061,610733,610733,[TikTok](https://tiktok.com/@blackkout___)
KARE 11 Minneapolis,Neutral,153,153949,121784,10,15395,1619838,1619838,[TikTok](https://www.tiktok.com/@kare11news)
CBS Philadelphia,Neutral,44,153383,39502,13,11799,3047289,3047289,[TikTok](https://www.tiktok.com/@cbsphiladelphia)
Full Send Podcast,Right-Leaning,-8,152195,-33316,7,21742,1761600,1761600,[TikTok](https://www.tiktok.com/@fullsendpodcast)
Jon Stewart,Left-Leaning,,150849,,9,16761,1765100,1765100,[TikTok](https://www.tiktok.com/@weeklyshowpodcast)
