entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Will Cain,Right-Leaning,,135606,,423,321,2717481,2717481,[TikTok](https://www.tiktok.com/@willcainshow)
Todd,Right-Leaning,-113,134127,-49204,112,1198,1204256,1204256,[TikTok](https://www.tiktok.com/@toddistalking2.0)
Gerlyn Henry,Left-Leaning,-110,132528,-41219,22,6024,1151551,1151551,[TikTok](https://www.tiktok.com/@rev.gerlynhenry)
CortlenFixesEverything,Left-Leaning,-100,130807,-25910,26,5031,460550,460550,[TikTok](https://www.tiktok.com/@cortlenfixeseverything)
Ben Cohen,Left-Leaning,-19,130125,58991,10,13013,490530,490530,[TikTok](https://www.tiktok.com/@yobencohen)
The Zactivist,Left-Leaning,-155,128154,-112279,33,3883,1355850,1355850,[TikTok](https://tiktok.com/@zactivist)
Zackory Kirk,Left-Leaning,-155,128154,-112279,33,3883,1355850,1355850,[TikTok](https://www.tiktok.com/@zactivist)
Manny Rutinel,Left-Leaning,7,127020,68417,3,42340,460915,460915,[TikTok](https://www.tiktok.com/@mannyrutinel)
TMJ4 News (Milwaukee NBC),Neutral,-64,126364,29196,30,4212,1327299,1327299,[TikTok](https://www.tiktok.com/@tmj4news)
Piers Morgan Uncensored,Right-Leaning,-269,126166,-565360,19,6640,2779500,2779500,[TikTok](https://www.tiktok.com/@piersmorganuncensored)
Saadia Mirza,Left-Leaning,2,125346,66106,23,5450,1017921,1017921,[TikTok](https://tiktok.com/@saadia___m)
Victoria Hammett,Left-Leaning,-38,120435,41625,17,7084,1070908,1070908,[TikTok](https://tiktok.com/@victoriahammett)
Chris Mowrey,Left-Leaning,-191,119828,-196353,16,7489,704955,704955,[TikTok](https://www.tiktok.com/@chrisdmowrey)
Black Girls Who Brunch - Erika Harrison,Left-Leaning,-82,118566,1601,45,2635,795254,795254,[TikTok](https://www.tiktok.com/@blackgirlswhobrunch)
WFLA News Channel 8,Neutral,-351,117675,-3096264,2,58838,843596,843596,[TikTok](https://www.tiktok.com/@wfla8)
March For Our Lives,Left-Leaning,-235,117041,-361505,4,29260,775686,775686,[TikTok](https://tiktok.com/@amarch4ourlives)
Kay,Right-Leaning,-70,116311,21246,106,1097,823779,823779,[TikTok](https://www.tiktok.com/@kayleighhhlynnnn)
Caulin Donaldson - TrashCaulin,Neutral,30,116235,73612,18,6458,414137,414137,[TikTok](https://www.tiktok.com/@trashcaulin)
Time Magazine,Neutral,-282,115957,-597801,44,2635,2061887,2061887,[TikTok](https://www.tiktok.com/@time)
Steven Bonnell II - Destiny,Left-Leaning,-55,115944,29290,68,1705,1933233,1933233,[TikTok](https://www.tiktok.com/@destinydebates)
Mario J Pentn,Right-Leaning,69,115196,85386,41,2810,1659919,1659919,[TikTok](https://www.tiktok.com/@mariojpenton)
Link Lauren,Right-Leaning,-143,114612,-79835,6,19102,652369,652369,[TikTok](https://tiktok.com/@itslinklauren)
KLAS 8 News Now (Las Vegas CBS),Neutral,-281,113788,-572639,3,37929,593000,593000,[TikTok](https://www.tiktok.com/@8newsnow)
Econ with Sarah,Left-Leaning,-99,111962,-18994,22,5089,1187495,1187495,[TikTok](https://www.tiktok.com/@econwithsarah)
HYGO News,Right-Leaning,-112,111058,-35594,236,471,2042426,2042426,[TikTok](https://www.tiktok.com/@hygonews)
Naima (hair.soup),Left-Leaning,-91,110874,177,6,18479,569300,569300,[TikTok](https://www.tiktok.com/@hair.soup)
Hail the King,Right-Leaning,-154,107255,-100540,26,4125,525582,525582,[TikTok](https://www.tiktok.com/@hailtheking23)
Cam Higby,Right-Leaning,-143,107167,-80736,18,5954,867009,867009,[TikTok](https://tiktok.com/@thecamhigby)
Rl,Right-Leaning,21,107015,64781,30,3567,1238834,1238834,[TikTok](https://www.tiktok.com/@republican.latina)
WFF News,Right-Leaning,79,105839,79725,13,8141,845771,845771,[TikTok](https://tiktok.com/@wffnews)
Jacob Simon,Neutral,-163,101456,-112515,15,6764,381972,381972,[TikTok](https://www.tiktok.com/@jacobsimonsays)
Cheddar,Neutral,-150,100772,-90497,16,6298,4027010,4027010,[TikTok](https://www.tiktok.com/@cheddar)
Kristan Hawkins,Right-Leaning,25,100301,60115,2,50151,566249,566249,[TikTok](https://www.tiktok.com/@kristanmercerhawkins)
Tiffany Fanae Butler,Right-Leaning,41,100084,66545,24,4170,448820,448820,[TikTok](https://www.tiktok.com/@thatsme_tiffany)
Garrison Hayes,Left-Leaning,122,97501,81688,4,24375,413378,413378,[TikTok](https://www.tiktok.com/@garrisonhayes)
The Adam Carolla Show,Right-Leaning,110,97410,79788,14,6958,1181804,1181804,[TikTok](https://www.tiktok.com/@theadamcarollashow)
Yahoo News,Neutral,99,97035,77477,23,4219,2924183,2924183,[TikTok](https://www.tiktok.com/@yahoonews)
Sharon McMahon,Left-Leaning,,96502,,6,16084,316358,316358,[TikTok](https://www.tiktok.com/@sharonsaysso)
Starbucks Workers United,Left-Leaning,198,96013,89313,6,16002,1010577,1010577,[TikTok](https://www.tiktok.com/@sbworkersunited)
Jess Piper,Left-Leaning,-57,95685,23841,35,2734,443542,443542,[TikTok](https://tiktok.com/@jesspipermo)
Amanda Litman,Left-Leaning,208,95335,89797,24,3972,578789,578789,[TikTok](https://www.tiktok.com/@amandalitman)
Live Action,Right-Leaning,-271,95059,-449884,33,2881,988467,988467,[TikTok](https://www.tiktok.com/@liveactionorg)
Barrie Rose,Left-Leaning,150,94921,84527,7,13560,726023,726023,[TikTok](https://tiktok.com/@barrierose)
Tessa 420,Left-Leaning,-323,94742,-822173,1,94742,455741,455741,[TikTok](https://www.tiktok.com/@tessa420_)
Gemma Talks,Left-Leaning,-55,94154,25096,24,3923,488339,488339,[TikTok](https://www.tiktok.com/@gemma_talks)
Kat Abughazaleh,Left-Leaning,64,93928,67829,33,2846,416424,416424,[TikTok](https://tiktok.com/@katmabu)
David Gokhshtein,Right-Leaning,-320,93242,-734925,98,951,2121162,2121162,[TikTok](https://www.tiktok.com/@davidgokhshtein)
The Adam Friedland Show,Left-Leaning,-84,93087,6107,10,9309,843263,843263,[TikTok](https://www.tiktok.com/@adamfriedlandshowclips)
Kristofer Goldsmith,Left-Leaning,-88,92412,4012,19,4864,678931,678931,[TikTok](https://www.tiktok.com/@krisgoldsmith85)
Abbie Richards,Left-Leaning,75,92289,70348,2,46145,423100,423100,[TikTok](https://www.tiktok.com/@tofology)
Matt & Justus,Left-Leaning,-249,92169,-295199,1,92169,528931,528931,[TikTok](https://www.tiktok.com/@mattandjustusofficial)
Daily Beltway,Right-Leaning,41,91842,62656,73,1258,1217711,1217711,[TikTok](https://www.tiktok.com/@dailybeltway)
The Moderate Case,Right-Leaning,13,91825,54120,1,91825,984452,984452,[TikTok](https://www.tiktok.com/@themoderatecase)
Qasim Rashid,Left-Leaning,-147,91484,-62589,35,2614,407331,407331,[TikTok](https://tiktok.com/@qasim.rashid)
